 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : DLX_IR_SIZE32_PC_SIZE32
Version: F-2011.09-SP3
Date   : Sun Sep 19 19:45:02 2021
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
DLX_IR_SIZE32_PC_SIZE32
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
DTPTH_I/N14                   54.958    0.986    0.0159      0.5297  
DTPTH_I/PC_fetch0[0]           5.847    0.500    0.1000      0.3537  d
DTPTH_I/Imm[17]                9.230    0.464    0.0630      0.3519  
n298                           4.050    0.514    0.1071      0.2625  
n297                          25.514    0.984    0.0168      0.2586  
n265                           4.060    0.500    0.1000      0.2456  d
n267                           4.060    0.500    0.1000      0.2456  d
n269                           4.060    0.500    0.1000      0.2456  d
n271                           4.060    0.500    0.1000      0.2456  d
n273                           4.060    0.500    0.1000      0.2456  d
n275                           4.060    0.500    0.1000      0.2456  d
n277                           4.060    0.500    0.1000      0.2456  d
n279                           4.060    0.500    0.1000      0.2456  d
n281                           4.060    0.500    0.1000      0.2456  d
n283                           4.060    0.500    0.1000      0.2456  d
n285                           4.060    0.500    0.1000      0.2456  d
n287                           4.060    0.500    0.1000      0.2456  d
n289                           4.060    0.500    0.1000      0.2456  d
n291                           4.060    0.500    0.1000      0.2456  d
n293                           4.060    0.500    0.1000      0.2456  d
n295                           4.060    0.500    0.1000      0.2456  d
n264                           4.027    0.500    0.1000      0.2436  d
n266                           4.027    0.500    0.1000      0.2436  d
n268                           4.027    0.500    0.1000      0.2436  d
n270                           4.027    0.500    0.1000      0.2436  d
n272                           4.027    0.500    0.1000      0.2436  d
n274                           4.027    0.500    0.1000      0.2436  d
n276                           4.027    0.500    0.1000      0.2436  d
n278                           4.027    0.500    0.1000      0.2436  d
n280                           4.027    0.500    0.1000      0.2436  d
n282                           4.027    0.500    0.1000      0.2436  d
n284                           4.027    0.500    0.1000      0.2436  d
n286                           4.027    0.500    0.1000      0.2436  d
n288                           4.027    0.500    0.1000      0.2436  d
n290                           4.027    0.500    0.1000      0.2436  d
n292                           4.027    0.500    0.1000      0.2436  d
n294                           4.027    0.500    0.1000      0.2436  d
DTPTH_I/add_254/carry[2]       3.758    0.243    0.0994      0.2260  
DTPTH_I/PC_fetch0[1]           3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[2]           3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[3]           3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[4]           3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[5]           3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[6]           3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[7]           3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[8]           3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[9]           3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[10]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[11]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[12]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[13]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[14]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[15]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[16]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[17]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[18]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[19]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[20]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[21]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[22]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[23]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[24]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[25]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[26]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[27]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[28]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[29]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/PC_fetch0[30]          3.496    0.500    0.1000      0.2115  d
DTPTH_I/add_254/carry[3]       3.758    0.117    0.0684      0.1555  
DTPTH_I/PC_fetch0[31]          2.542    0.500    0.1000      0.1538  d
DTPTH_I/ALU_OP/adder/carry_logic/gi[4][0]
                               2.325    0.264    0.1032      0.1452  
DTPTH_I/ALU_OP/data1i[0]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[1]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[2]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[3]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[6]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[7]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[10]      2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[11]      2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[14]      2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[15]      2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[18]      2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[19]      2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[22]      2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[23]      2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[26]      2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data1i[27]      2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data2i[0]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data2i[1]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data2i[2]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data2i[3]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data2i[6]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data2i[7]       2.399    0.500    0.1000      0.1451  d
DTPTH_I/ALU_OP/data2i[10]      2.399    0.500    0.1000      0.1451  d
